	x	y	z	pitch	roll	yaw
	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00
	-7.0595364e-03	-5.0788513e-02	-4.2478581e-02	 4.3946146e-04	-2.7662695e-04	-2.7022518e-04
	-4.0734433e-03	-1.1615609e-02	 9.4220735e-02	-1.2104956e-04	-1.9171544e-04	-3.3764244e-04
	-8.9439375e-03	-6.4626177e-02	 2.6092707e-02	 8.2504089e-05	-3.7129441e-04	-4.0604172e-04
	-2.8764359e-02	-5.9230678e-02	 3.6995211e-02	 1.4135938e-05	-1.4988270e-04	-8.1363924e-04
	-2.0233795e-02	-8.7237605e-03	 1.4181955e-01	-8.3875972e-04	-4.0437786e-04	-6.6813320e-04
	-3.3001617e-02	-9.3234269e-02	 8.2813991e-02	 7.6639409e-05	-3.0450368e-04	-9.3614078e-04
	-3.3087195e-02	-4.4458403e-02	 9.4850277e-02	 1.0759336e-05	-3.7603057e-04	-8.6694531e-04
	-3.8478925e-02	-5.8365046e-02	 9.9436309e-02	 1.2219114e-04	-3.2757590e-04	-9.7819633e-04
	-6.7084546e-02	-8.3189096e-02	 7.2342350e-02	 1.5327096e-04	-1.7891820e-04	-1.3415556e-03
	-5.0265083e-02	-3.9306078e-02	 1.5707739e-01	-2.2195498e-04	-2.3384860e-04	-1.2527826e-03
	-4.8846211e-02	-8.6326871e-02	 1.0907187e-01	 1.0766215e-04	-4.2104257e-04	-1.2303626e-03
	-5.0502510e-02	-6.5462717e-02	 1.2681893e-01	 2.7378515e-04	-3.9212718e-04	-1.2690588e-03
	-6.1189138e-02	-5.7671427e-02	 1.2710109e-01	 3.5467655e-04	-5.5197438e-04	-1.3220928e-03
	-5.2168657e-02	-1.2647087e-01	 7.1841392e-02	 8.2741386e-04	-6.4184841e-04	-1.1930378e-03
	-5.8893195e-02	-3.2612433e-02	 1.7531080e-01	 1.6064069e-04	 1.0193387e-04	-1.1805406e-03
	-5.9995315e-02	 6.3325188e-02	 3.2532947e-01	-4.2122072e-04	 6.0706112e-04	-1.1196664e-03
	-6.7626412e-02	-2.0336562e-02	 2.9397853e-01	-3.4653706e-04	 1.0248558e-03	-1.1777298e-03
	-6.9921411e-02	-1.1152532e-01	 3.0432333e-01	-8.0340623e-04	 1.0070433e-03	-1.3497610e-03
	-6.3194619e-02	-1.1963278e-01	 2.4043888e-01	-3.1903354e-04	 5.7981934e-04	-1.5625762e-03
	-7.3163864e-02	-1.1299939e-01	 1.9719097e-01	 1.0559573e-04	 4.4590911e-04	-1.6268567e-03
	-7.3640749e-02	-1.0547408e-01	 2.1177395e-01	 4.6617781e-04	 7.0174547e-04	-1.3436019e-03
	-7.0363781e-02	-1.1923178e-01	 2.0618303e-01	 3.4196275e-04	 9.0302903e-04	-1.3554708e-03
	-5.0410682e-02	-8.8241521e-02	 2.3497078e-01	 3.2770775e-04	 1.2791897e-03	-9.3923239e-04
	-3.0108622e-02	-1.1287034e-01	 2.3035685e-01	 3.9289362e-04	 1.4258008e-03	-6.4605885e-04
	-1.6082821e-02	-1.0017236e-01	 2.2158163e-01	 3.9066093e-04	 1.4663850e-03	-4.5143974e-04
	-2.1865871e-02	-8.5657404e-02	 2.4295057e-01	 2.3554149e-04	 1.6964162e-03	-4.6167920e-04
	-1.0212914e-02	-1.1722249e-01	 2.4084345e-01	 5.0303870e-04	 1.7498976e-03	-6.5209382e-05
	-4.4774628e-04	-8.8562811e-02	 2.9529412e-01	 1.4102644e-04	 1.6685378e-03	-7.5527311e-05
	-3.8718422e-03	-1.1831843e-01	 2.6307397e-01	 2.7655912e-04	 1.5339996e-03	-2.2545915e-07
	-1.4831768e-02	-1.2705424e-01	 2.2608403e-01	 4.2605713e-04	 1.3772632e-03	-2.7040932e-04
	-1.1957927e-02	-7.7341220e-02	 2.4793824e-01	 4.0195208e-04	 1.6045035e-03	 7.9967618e-06
	-7.3388456e-03	-1.3408470e-01	 1.6796443e-01	 1.0169998e-03	 1.5113719e-03	 1.6004794e-05
	-1.3852177e-03	-5.7417388e-02	 2.4249746e-01	 5.6723047e-04	 1.4438979e-03	 3.6937799e-06
	 7.2724631e-03	-1.2176843e-01	 1.8282895e-01	 7.1179941e-04	 1.3050087e-03	 2.2020731e-04
	 9.5483849e-03	-1.3503647e-01	 1.2502619e-01	 9.5420305e-04	 1.0847301e-03	 6.6334923e-05
	 2.4525924e-02	-6.9919157e-02	 2.1475106e-01	 5.6316295e-04	 1.1400489e-03	 5.2679382e-05
	 1.5350202e-02	-1.2137207e-01	 1.8004008e-01	 1.0626301e-03	 1.2274094e-03	 7.5169005e-05
	 3.8167242e-03	-1.1418022e-01	 1.4375214e-01	 1.2311365e-03	 1.1821590e-03	 4.3623809e-05
	 2.1625369e-02	-9.9068716e-02	 1.5631716e-01	 1.1194061e-03	 1.1120286e-03	 2.3296138e-04
	 4.9210026e-02	-1.0640907e-01	 6.5756634e-02	 1.4262464e-03	 7.2101886e-04	 3.5555566e-04
	 3.1454489e-02	-6.4455375e-02	 1.3303685e-01	 1.0284869e-03	 9.2586133e-04	 3.0767296e-04
	 6.6843735e-03	-1.3582528e-01	 1.1708738e-01	 1.6381798e-03	 1.0185760e-03	 3.0204848e-04
	-3.7073669e-03	-1.0376447e-01	 9.2058076e-02	 1.3936036e-03	 9.7690850e-04	 2.1438719e-06
	 1.0067092e-02	-5.8138926e-02	 1.8378635e-01	 8.1128376e-04	 1.0653548e-03	 2.8217853e-04
	 3.8683517e-02	-8.9570785e-02	 1.4559879e-01	 9.3130907e-04	 7.2560805e-04	 1.9414474e-04
	 4.9337313e-02	-6.1668928e-02	 1.8473885e-01	 9.0934399e-04	 6.5847993e-04	 3.0764249e-04
